"traj.time","traj.degree","traj.rate"
7,4,0.571428571428571
15,7,0.466666666666667
6,4,0.666666666666667
29,6,0.206896551724138
55,10,0.181818181818182
2,1,0.5
3,1,0.333333333333333
66,21,0.318181818181818
34,8,0.235294117647059
41,15,0.365853658536585
32,10,0.3125
40,19,0.475
6,2,0.333333333333333
7,2,0.285714285714286
9,5,0.555555555555556
39,9,0.230769230769231
53,13,0.245283018867925
4,0,0
14,4,0.285714285714286
2,3,1.5
59,22,0.372881355932203
7,5,0.714285714285714
37,7,0.189189189189189
25,13,0.52
6,1,0.166666666666667
24,11,0.458333333333333
7,3,0.428571428571429
10,2,0.2
57,15,0.263157894736842
54,15,0.277777777777778
39,11,0.282051282051282
3,2,0.666666666666667
11,6,0.545454545454545
5,4,0.8
16,8,0.5
16,10,0.625
2,0,0
2,0,0
24,5,0.208333333333333
24,8,0.333333333333333
11,5,0.454545454545455
2,1,0.5
2,2,1
16,11,0.6875
33,8,0.242424242424242
22,7,0.318181818181818
7,2,0.285714285714286
49,19,0.387755102040816
50,14,0.28
20,7,0.35
49,18,0.36734693877551
22,9,0.409090909090909
15,6,0.4
6,1,0.166666666666667
49,21,0.428571428571429
5,2,0.4
5,1,0.2
40,12,0.3
10,0,0
26,5,0.192307692307692
3,1,0.333333333333333
3,3,1
11,3,0.272727272727273
47,12,0.25531914893617
11,1,0.0909090909090909
11,4,0.363636363636364
16,7,0.4375
17,5,0.294117647058824
24,3,0.125
5,4,0.8
11,6,0.545454545454545
45,10,0.222222222222222
47,7,0.148936170212766
28,6,0.214285714285714
15,7,0.466666666666667
9,2,0.222222222222222
42,15,0.357142857142857
28,12,0.428571428571429
9,4,0.444444444444444
26,9,0.346153846153846
8,1,0.125
5,4,0.8
14,3,0.214285714285714
16,6,0.375
41,10,0.24390243902439
41,9,0.219512195121951
19,6,0.315789473684211
22,10,0.454545454545455
20,6,0.3
10,3,0.3
3,4,1.33333333333333
21,8,0.380952380952381
38,9,0.236842105263158
14,3,0.214285714285714
39,13,0.333333333333333
37,10,0.27027027027027
2,0,0
27,9,0.333333333333333
17,8,0.470588235294118
5,5,1
13,6,0.461538461538462
16,3,0.1875
19,9,0.473684210526316
12,4,0.333333333333333
19,3,0.157894736842105
30,12,0.4
2,1,0.5
4,2,0.5
21,8,0.380952380952381
15,3,0.2
14,2,0.142857142857143
32,10,0.3125
4,3,0.75
15,7,0.466666666666667
9,5,0.555555555555556
7,6,0.857142857142857
16,6,0.375
13,4,0.307692307692308
32,4,0.125
2,2,1
12,5,0.416666666666667
27,9,0.333333333333333
31,6,0.193548387096774
10,5,0.5
30,10,0.333333333333333
10,4,0.4
3,1,0.333333333333333
4,5,1.25
3,3,1
22,5,0.227272727272727
26,8,0.307692307692308
19,5,0.263157894736842
26,4,0.153846153846154
15,9,0.6
8,5,0.625
25,11,0.44
21,4,0.19047619047619
24,9,0.375
6,0,0
3,1,0.333333333333333
24,6,0.25
16,3,0.1875
12,4,0.333333333333333
23,9,0.391304347826087
22,10,0.454545454545455
23,4,0.173913043478261
12,2,0.166666666666667
7,3,0.428571428571429
5,5,1
20,9,0.45
20,4,0.2
13,5,0.384615384615385
3,1,0.333333333333333
17,4,0.235294117647059
3,4,1.33333333333333
17,9,0.529411764705882
12,6,0.5
3,2,0.666666666666667
3,3,1
13,4,0.307692307692308
14,8,0.571428571428571
14,7,0.5
14,5,0.357142857142857
3,1,0.333333333333333
13,7,0.538461538461538
13,7,0.538461538461538
7,3,0.428571428571429
2,1,0.5
13,5,0.384615384615385
9,4,0.444444444444444
13,4,0.307692307692308
12,5,0.416666666666667
13,4,0.307692307692308
13,5,0.384615384615385
9,2,0.222222222222222
3,0,0
5,5,1
5,5,1
2,2,1
3,1,0.333333333333333
4,0,0
3,3,1
6,0,0
8,3,0.375
11,4,0.363636363636364
2,0,0
11,2,0.181818181818182
11,8,0.727272727272727
9,3,0.333333333333333
10,0,0
10,3,0.3
7,4,0.571428571428571
8,1,0.125
8,4,0.5
2,3,1.5
7,2,0.285714285714286
7,4,0.571428571428571
5,3,0.6
4,5,1.25
5,4,0.8
5,3,0.6
5,3,0.6
5,2,0.4
2,4,2
2,1,0.5
2,1,0.5
2,1,0.5
4,4,1
4,1,0.25
16,6,0.375
26,3,0.115384615384615
