 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.112	25.250	2	0	84	28.067	404.000
2	1.042	21.000	0	0	56	21.884	315.000
3	0.903	25.385	7	3	74	22.926	330.000
4	0.556	32.750	8	8	84	18.202	262.000
5	0.903	20.154	1	1	48	18.202	262.000
6	0.973	24.000	8	8	58	23.343	336.000
7	0.903	23.769	8	4	60	21.467	309.000
8	0.973	33.500	39	8	85	32.583	469.000
9	0.903	22.077	27	2	53	19.939	287.000
10	0.903	17.154	0	0	52	15.492	223.000
11	1.042	26.667	3	2	70	27.789	400.000
12	0.903	25.385	29	6	74	22.926	330.000
13	0.903	29.000	21	8	62	26.191	377.000
14	0.903	25.385	1	1	64	22.926	330.000
15	0.973	21.286	1	1	73	20.703	298.000
16	0.695	22.800	19	5	39	15.840	228.000
17	0.973	21.857	21	5	53	21.259	306.000
18	1.042	31.267	12	4	82	32.583	469.000
19	0.973	24.571	5	5	57	23.899	344.000
20	0.834	19.917	15	1	47	16.604	239.000
21	0.973	37.143	29	9	88	36.126	520.000
22	1.042	32.067	27	3	76	33.416	481.000
23	0.903	36.077	6	6	71	32.583	469.000
24	0.973	16.571	17	0	40	16.118	232.000
25	0.625	15.111	2	2	38	9.448	136.000
