 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.251	16.111	8	2	47	20.147	290
2	1.042	25.000	4	4	52	26.052	375
3	0.973	22.071	3	2	83	21.467	309
4	1.112	25.562	11	0	74	28.414	409
5	0.764	24.364	8	8	50	18.619	268
6	1.112	22.312	4	0	64	24.802	357
7	0.695	24.300	5	5	62	16.882	243
8	0.834	31.500	11	11	68	26.261	378
9	0.069	16.000	16	16	16	1.112	16
10	1.251	24.222	5	1	71	30.290	436
11	1.042	19.533	6	4	50	20.355	293
12	1.042	23.667	4	4	64	24.663	355
13	0.834	19.750	0	0	52	16.465	237
14	0.973	21.500	8	5	61	20.911	301
15	1.181	21.176	21	2	61	25.010	360
16	0.764	26.818	3	3	62	20.494	295
17	1.389	24.200	13	0	81	33.625	484
18	1.251	22.333	6	1	78	27.928	402
19	1.181	20.588	2	1	80	24.315	350
20	1.251	21.556	1	1	78	26.955	388
21	1.320	29.526	15	1	67	38.974	561
22	1.042	19.467	9	3	52	20.286	292
23	0.903	15.846	5	1	51	14.311	206
24	0.695	20.300	20	3	56	14.103	203
25	0.973	20.429	7	6	57	19.869	286
