 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.528	31.682	2	0	113	48.422	697.000
2	1.320	32.158	2	1	109	42.448	611.000
3	0.973	42.357	14	3	100	41.197	593.000
4	1.251	27.222	3	2	81	34.042	490.000
5	1.251	37.278	4	4	100	46.616	671.000
6	0.903	38.769	5	5	97	35.014	504.000
7	1.320	22.526	6	1	83	29.734	428.000
8	1.389	35.000	2	1	92	48.631	700.000
9	1.181	43.176	27	3	111	50.993	734.000
10	1.042	36.467	12	3	101	38.001	547.000
11	1.389	34.150	4	4	110	47.450	683.000
12	1.181	40.706	24	0	123	48.075	692.000
13	0.973	42.214	5	5	130	41.058	591.000
14	1.320	40.789	10	4	109	53.841	775.000
15	0.973	35.071	36	1	90	34.111	491.000
16	0.903	40.923	42	3	102	36.959	532.000
17	1.042	43.667	8	5	154	45.505	655.000
18	0.764	34.000	4	4	81	25.983	374.000
19	1.251	31.056	3	0	92	38.835	559.000
20	1.181	46.176	68	2	113	54.536	785.000
21	0.973	36.357	17	2	94	35.362	509.000
22	1.112	27.875	2	2	89	30.985	446.000
23	1.459	32.286	2	2	112	47.102	678.000
24	1.320	35.421	22	2	103	46.755	673.000
25	1.181	36.412	35	5	93	43.004	619.000
