 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.320	17.000	8	0	52	22.440	323.000
2	1.042	21.067	9	1	70	21.953	316.000
3	0.903	21.923	6	5	59	19.800	285.000
4	0.834	19.417	30	0	54	16.187	233.000
5	1.181	18.412	10	0	50	21.745	313.000
6	1.181	17.176	3	0	47	20.286	292.000
7	0.834	25.667	7	7	49	21.398	308.000
8	0.903	22.538	10	1	56	20.355	293.000
9	1.112	17.875	47	0	47	19.869	286.000
10	1.042	21.000	2	2	49	21.884	315.000
11	0.903	27.923	2	2	73	25.219	363.000
12	1.251	25.444	8	2	58	31.818	458.000
13	0.903	17.615	3	3	46	15.909	229.000
14	0.973	21.929	6	6	56	21.328	307.000
15	1.459	18.286	1	1	56	26.677	384.000
16	0.973	23.286	20	1	58	22.648	326.000
17	0.764	28.455	3	3	58	21.745	313.000
18	1.112	25.812	6	4	68	28.692	413.000
19	1.042	19.733	2	2	55	20.564	296.000
20	1.042	25.600	10	6	64	26.677	384.000
21	0.834	13.917	4	1	37	11.602	167.000
22	1.181	24.882	25	2	61	29.387	423.000
23	1.112	28.375	4	1	81	31.541	454.000
24	1.042	25.267	2	2	65	26.330	379.000
25	1.112	21.125	7	4	68	23.482	338.000
