 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	0.973	16.214	0	0	49	15.770	227
2	1.181	21.000	45	2	49	24.802	357
3	1.112	16.938	9	4	38	18.827	271
4	1.112	16.750	4	4	45	18.619	268
5	1.251	16.667	3	3	48	20.842	300
6	1.181	14.765	3	1	38	17.438	251
7	0.764	14.818	6	5	36	11.324	163
8	1.042	15.200	14	2	34	15.840	228
9	1.251	17.389	4	4	53	21.745	313
10	1.459	19.714	0	0	70	28.762	414
11	1.459	19.714	8	4	53	28.762	414
12	0.973	14.571	1	1	43	14.172	204
13	0.973	18.571	1	1	49	18.063	260
14	1.042	22.733	12	3	49	23.690	341
15	1.112	15.875	6	2	46	17.646	254
16	1.181	15.824	4	3	40	18.688	269
17	0.973	17.643	8	1	50	17.160	247
18	1.459	15.667	2	0	41	22.856	329
19	1.320	17.211	6	2	58	22.718	327
20	1.459	16.143	5	0	53	23.551	339
21	1.112	20.750	6	0	47	23.065	332
22	0.973	13.786	8	4	37	13.408	193
23	1.112	22.438	20	5	49	24.941	359
24	1.251	16.056	3	2	53	20.078	289
25	1.181	16.412	5	1	42	19.383	279
