 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	0.834	27.083	4	4	54	22.579	325.000
2	1.320	26.368	3	3	83	34.806	501.000
3	0.973	27.214	13	1	63	26.469	381.000
4	1.251	25.556	8	2	61	31.957	460.000
5	1.042	23.333	2	2	74	24.315	350.000
6	1.042	24.267	1	1	61	25.288	364.000
7	1.459	25.143	2	1	82	36.682	528.000
8	1.042	26.467	14	1	76	27.581	397.000
9	0.764	22.455	20	2	57	17.160	247.000
10	1.042	24.400	1	1	67	25.427	366.000
11	1.251	21.389	10	2	64	26.747	385.000
12	1.112	25.938	15	1	61	28.831	415.000
13	0.973	13.214	14	0	32	12.852	185.000
14	0.764	32.364	5	5	77	24.732	356.000
15	1.181	23.353	5	2	66	27.581	397.000
16	0.973	24.286	4	1	84	23.621	340.000
17	0.834	18.083	23	2	48	15.076	217.000
18	0.973	21.214	11	2	69	20.633	297.000
19	1.181	20.941	6	2	68	24.732	356.000
20	0.973	26.357	18	8	62	25.635	369.000
21	0.069	14.000	14	14	14	0.973	14.000
22	0.973	16.357	23	2	59	15.909	229.000
23	1.459	22.238	7	4	57	32.444	467.000
24	1.320	25.895	13	1	62	34.180	492.000
25	0.973	34.500	10	4	71	33.555	483.000
