 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.181	34.529	23	5	88	40.780	587.000
2	1.459	23.476	7	1	81	34.250	493.000
3	1.181	17.588	7	2	49	20.772	299.000
4	1.389	27.150	2	2	99	37.724	543.000
5	1.320	33.947	32	2	97	44.810	645.000
6	1.459	20.905	7	1	61	30.498	439.000
7	1.112	27.062	2	2	63	30.082	433.000
8	0.973	43.571	3	3	99	42.378	610.000
9	1.251	33.667	5	3	91	42.100	606.000
10	1.042	33.933	8	1	78	35.362	509.000
11	1.181	29.647	8	4	78	35.014	504.000
12	0.973	26.714	14	6	69	25.983	374.000
13	0.834	24.417	2	2	67	20.355	293.000
14	1.181	28.706	55	1	79	33.903	488.000
15	0.973	28.071	2	2	67	27.303	393.000
16	1.181	20.353	3	2	67	24.038	346.000
17	0.764	17.909	0	0	48	13.686	197.000
18	1.112	28.062	10	4	78	31.193	449.000
19	1.389	24.000	4	3	77	33.347	480.000
20	1.528	21.636	4	0	75	33.069	476.000
21	1.112	24.812	8	3	66	27.581	397.000
22	1.112	14.625	2	1	50	16.257	234.000
23	0.973	18.643	11	3	44	18.132	261.000
24	1.389	13.600	1	0	39	18.897	272.000
25	1.389	10.700	4	1	32	14.867	214.000
