 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.806	18.077	4	1	60	32.652	470
2	1.667	22.750	5	1	67	37.932	546
3	1.806	27.577	4	1	80	49.812	717
4	1.528	29.727	4	3	83	45.435	654
5	1.389	28.950	18	2	82	40.225	579
6	1.181	32.588	11	4	79	38.488	554
7	1.112	30.750	25	2	76	34.180	492
8	1.528	19.500	4	0	55	29.804	429
9	1.389	25.800	5	1	75	35.848	516
10	0.764	40.091	18	7	87	30.637	441
11	1.389	24.950	1	1	84	34.667	499
12	1.112	21.625	3	3	77	24.038	346
13	1.112	29.250	1	1	79	32.513	468
14	1.598	25.826	1	1	97	41.267	594
15	1.251	25.333	3	3	75	31.679	456
16	1.042	30.133	6	2	78	31.402	452
17	0.695	29.900	8	8	71	20.772	299
18	1.042	31.200	1	1	89	32.513	468
19	0.764	25.545	11	8	58	19.522	281
20	1.320	30.632	9	7	81	40.433	582
21	1.251	31.611	9	6	83	39.530	569
22	0.834	24.500	12	3	47	20.425	294
23	0.695	16.900	10	6	36	11.741	169
24	1.042	28.733	12	1	77	29.943	431
25	0.973	30.714	14	4	96	29.873	430
