 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.667	14.083	5	0	47	23.482	338
2	1.389	16.100	3	0	52	22.370	322
3	1.251	27.167	8	4	75	33.972	489
4	1.737	11.400	0	0	63	19.800	285
5	1.667	15.375	3	0	69	25.635	369
6	0.973	22.071	0	0	65	21.467	309
7	1.320	21.105	3	1	62	27.858	401
8	1.667	20.500	1	0	58	34.180	492
9	1.181	25.000	2	1	73	29.526	425
10	0.973	17.000	1	1	52	16.534	238
11	1.112	21.375	19	2	60	23.760	342
12	1.112	17.375	1	1	58	19.313	278
13	1.112	24.000	7	4	79	26.677	384
14	1.251	19.056	1	1	53	23.829	343
15	1.320	17.421	2	1	65	22.995	331
16	1.320	19.000	3	1	55	25.080	361
17	1.042	17.400	5	2	60	18.132	261
18	1.042	18.867	5	1	63	19.661	283
19	0.973	21.643	4	4	72	21.050	303
20	1.181	17.412	1	1	65	20.564	296
21	1.459	13.476	1	1	43	19.661	283
22	1.320	12.737	6	1	38	16.812	242
23	1.181	12.471	4	0	51	14.728	212
24	1.251	15.500	1	1	55	19.383	279
25	0.764	16.455	10	1	50	12.575	181
