 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.042	24.400	8	7	58	25.427	366
2	1.459	24.429	4	1	68	35.639	513
3	1.181	23.118	11	1	67	27.303	393
4	0.973	22.714	9	6	63	22.092	318
5	1.042	23.200	5	5	61	24.176	348
6	0.834	19.417	13	5	47	16.187	233
7	0.695	16.300	3	3	41	11.324	163
8	0.903	22.615	2	2	47	20.425	294
9	0.069	22.000	22	22	22	1.528	22
10	0.764	22.364	19	3	57	17.090	246
11	1.598	25.652	2	0	75	40.989	590
12	1.528	23.727	13	0	62	36.265	522
13	1.389	16.100	1	0	57	22.370	322
14	0.695	21.200	10	3	46	14.728	212
15	1.181	15.471	3	1	46	18.271	263
16	0.069	14.000	14	14	14	0.973	14
17	0.903	20.308	2	2	62	18.341	264
18	1.181	21.529	7	2	76	25.427	366
19	0.903	31.923	3	3	81	28.831	415
20	1.251	24.222	2	2	84	30.290	436
21	0.764	22.727	1	1	62	17.368	250
22	0.834	18.583	5	5	37	15.492	223
23	0.834	22.917	2	2	52	19.105	275
24	0.973	30.500	6	6	75	29.665	427
25	0.556	23.125	12	12	35	12.852	185
