 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.042	16.467	2	0	61	17.160	247.000
2	0.903	22.846	3	3	56	20.633	297.000
3	1.112	21.062	8	3	67	23.412	337.000
4	1.389	19.900	6	4	50	27.650	398.000
5	0.695	21.900	14	5	40	15.214	219.000
6	1.181	31.059	29	4	75	36.682	528.000
7	1.320	23.474	4	0	70	30.985	446.000
8	0.903	26.846	55	3	55	24.246	349.000
9	1.042	25.133	9	8	61	26.191	377.000
10	0.903	24.846	2	2	67	22.440	323.000
11	1.528	16.864	4	1	71	25.774	371.000
12	1.389	20.300	10	2	60	28.206	406.000
13	1.459	21.667	2	2	61	31.610	455.000
14	0.973	27.429	3	3	68	26.677	384.000
15	1.042	23.867	4	4	55	24.871	358.000
16	1.112	19.688	4	1	60	21.884	315.000
17	1.042	22.400	4	2	51	23.343	336.000
18	0.625	26.222	5	5	51	16.396	236.000
19	0.973	21.071	9	3	51	20.494	295.000
20	1.112	19.125	0	0	47	21.259	306.000
21	0.834	15.833	1	1	45	13.200	190.000
22	1.181	23.176	37	2	55	27.372	394.000
23	1.389	17.500	1	0	50	24.315	350.000
24	0.973	16.643	3	2	49	16.187	233.000
25	1.737	14.880	2	0	39	25.844	372.000
