 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.251	14.667	2	2	36	18.341	264.000
2	0.903	15.000	3	0	45	13.547	195.000
3	1.181	15.000	4	1	43	17.715	255.000
4	0.695	20.600	6	6	55	14.311	206.000
5	1.320	20.368	3	1	56	26.886	387.000
6	1.320	18.000	5	2	45	23.760	342.000
7	0.903	19.154	9	1	54	17.299	249.000
8	1.181	20.529	8	0	48	24.246	349.000
9	1.042	20.067	8	6	54	20.911	301.000
10	1.112	15.500	8	3	43	17.229	248.000
11	1.320	14.000	11	0	38	18.480	266.000
12	0.834	19.083	2	2	56	15.909	229.000
13	1.251	16.944	1	1	55	21.189	305.000
14	1.042	20.333	6	3	52	21.189	305.000
15	0.973	12.500	7	1	31	12.158	175.000
16	0.903	18.538	4	4	44	16.743	241.000
17	0.903	20.692	8	0	49	18.688	269.000
18	1.112	18.938	8	2	54	21.050	303.000
19	1.667	15.792	10	1	44	26.330	379.000
20	1.042	11.933	1	0	31	12.436	179.000
21	0.764	14.364	7	6	25	10.977	158.000
22	1.251	13.278	3	2	30	16.604	239.000
23	0.903	21.000	5	5	52	18.966	273.000
24	1.112	17.812	5	1	56	19.800	285.000
25	0.834	13.417	5	2	40	11.185	161.000
