 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.598	18.043	2	0	67	28.831	415
2	1.042	23.800	7	1	64	24.802	357
3	1.251	19.333	5	1	58	24.176	348
4	1.459	16.333	14	2	48	23.829	343
5	1.528	18.909	1	1	56	28.901	416
6	1.320	15.000	1	1	52	19.800	285
7	1.320	22.158	11	2	67	29.248	421
8	2.154	15.548	2	0	58	33.486	482
9	1.251	20.111	2	0	56	25.149	362
10	1.042	24.267	7	5	63	25.288	364
11	1.667	32.750	6	2	78	54.605	786
12	1.876	18.519	3	3	43	34.736	500
13	1.945	14.536	5	0	48	28.275	407
14	1.320	19.789	4	1	68	26.122	376
15	1.667	14.667	6	0	54	24.454	352
16	1.112	20.375	3	1	58	22.648	326
17	1.876	17.407	2	0	61	32.652	470
18	1.737	19.680	2	0	75	34.180	492
19	1.389	15.800	2	2	48	21.953	316
20	1.251	19.944	7	3	57	24.941	359
21	1.042	18.933	5	3	42	19.730	284
22	1.251	30.778	18	6	58	38.488	554
23	0.834	27.833	5	3	68	23.204	334
24	1.320	23.579	11	2	81	31.124	448
25	1.181	26.647	6	2	79	31.471	453
