,Shorthand,Type,Video,Y (long),X (short),All sizes taken from ADJUSTEDCROPPED videos
trackmaterun-msh1_9,MSH22,mtGFP-msh1,trackmaterun-msh1_9 C2-msh1-middle-Correct3DDrift-ADJUSTEDCROPPED_Tracks-1-4-4-5-2.xml.csv,80.738,16.307,1250.798
trackmaterun-Msh1_3-cell2,MSH23,mtGFP-msh1,trackmaterun-Msh1_3-cell2 C2-line11-9-2-good2ADJUSTEDCROPPED-cell2_Tracks-1-4-4-5-2.xml.csv,79.721,15.929,1188.613
trackmaterun-msh1_14-cell5,MSH24,mtGFP-msh1,trackmaterun-msh1_14-cell5 C2-msh1-loadscells-3DDriftCorrectADJUSTEDCROPPED-cell5_Tracks-1-6-3-4-2.xml.csv,56.462,26.350,1292.602
trackmaterun-msh1_14-cell2,MSH25,mtGFP-msh1,trackmaterun-msh1_14-cell2 C2-msh1-loadscells-3DDriftCorrectADJUSTEDCROPPED-cell2_Tracks-0_8-8-4-5-2-F9_7.xml.csv,51.500,21.200,982.454
trackmaterun-msh1_7-cell2,MSH26,mtGFP-msh1,trackmaterun-msh1_7-cell2 C2-msh1-drifty-Correct3DDrift-ADJUSTEDCROPPED-cell2_Tracks-1-4-4-5-2.xml.csv,55.221,14.458,851.658
trackmaterun-msh1_14-cell3,MSH27,mtGFP-msh1,trackmaterun-msh1_14-cell3 C2-msh1-loadscells-3DDriftCorrectADJUSTEDCROPPED-cell3_Tracks-0_8-5-4-5-2.xml.csv,28.630,13.663,302.386
trackmaterun-msh1_14-cell4,MSH28,mtGFP-msh1,trackmaterun-msh1_14-cell4 C2-msh1-loadscells-3DDriftCorrectADJUSTEDCROPPED-cell4_Tracks-1-6-4-5-2.xml.csv,40.270,16.946,661.784
trackmaterun-Friendly100918,F1,friendly,/ trackmaterun-Friendly100918 friendly120vidbestADJUSTEDCROPPED-100918_Tracks-1-4-4-5-2-F6_9,90.8,15.497,1323.226
trackmaterun-Friendly080818-2,F2,friendly,/ trackmaterun-Friendly080818-2 Friendly2_canusejustbumpupnoiseforPI-ADJUSTEDCROPPED_Tracks-1-4-4-5-2-F5_73,92.372,22.655,2017.859
trackmaterun-Friendly080818-5,F3,friendly,/ trackmaterun-Friendly080818-5 Friendly5_candeffousejustbumppi-ADJUSTEDCROPPED_Tracks-1-5-4-5-2-F0,71.528,16.940,1113.884
trackmaterun-Friendly010319,F4,friendly,/ trackmaterun-Friendly010319 Friendlyniceunderr5minADJUSTEDCROPPED-010319_Tracks-1-4-4-5-2-F5_54,133.543,22.9,3061.343
trackmaterun-Friendly080818-4,F5,friendly,/ trackmaterun-Friendly080818-4 Friendly4_canusejustbumpupnoiseforPI-ADJUSTEDCROPPED_Tracks-1-5-4-5-2-F9_24,38.842,12.787,522.632
trackmaterun-FriendlyNice120,F6,friendly,/ trackmaterun-FriendlyNice120 FriendlyPInice200ADJUSTEDCROPPED-1-TRIMMEDTO120FRAMES_Tracks-1-4-4-5-2-F6_34,58.621,21.171,1040.007
trackmaterun-Friendly220219-7,F7,friendly,/ trackmaterun-Friendly220219-7 FRIENDLYpiunder5mins4_TWOMOREGREATONES-2-ADJUSTEDCROPPED_Tracks-1-4_5-4-5-2-F7_37,59.248,16.918,873.729
trackmaterun-Friendly220219-1,F8,friendly,/ trackmaterun-Friendly220219-1 FRIENDLYpiunder5minsADJUSTEDCROPPED-220219-1_Tracks-1-4-4-5-2-F7_53,85.104,21.034,1629.700
trackmaterun-Friendly220219-6,F9,friendly,/ trackmaterun-Friendly220219-6 FRIENDLYpiunder5mins4_TWOMOREGREATONES-1-ADJUSTEDCROPPED_Tracks-1-4-4-5-2-F4_88,50.998,21.387,920.867
trackmaterun-Friendly060419-1,F10,friendly,/ trackmaterun-Friendly060419-1 FRIENDLYunder5minADJUSTEDCROPPED_1-060419_Tracks1-5-4-5-2-F1_32,57.720,18.972,1029.945
trackmaterun-Friendly100918-2,F11,friendly,/ trackmaterun-Friendly100918-2 friendly120vid_somemitosoutoffocus-ADJUSTEDCROPPED_Tracks-1-7-4-5-2-F6_81,66.328,15.127,1000.436
trackmaterun-Friendly010319-2,F12,friendly,/ trackmaterun-Friendly010319-2 Friendlyniceunderr5min-2-bonuscell-ADJUSTEDCROPPED_Tracks-1-3-4-5-2-F4_48,74.679,10.507,863.814
trackmaterun-Friendly080818-6,F13,friendly,/ trackmaterun-Friendly080818-6 Friendly6_candeffousejustbumppi-ADJUSTEDCROPPED_Tracks-1-3-4-5-2-F6_18,103.518,20.853,2008.536
trackmaterun-Friendly220219-3,F14,friendly,/ trackmaterun-Friendly220219-3 FRIENDLYpiunder5mins3ADJUSTEDCROPPED-220219-3_Tracks-1-5-4-5-2-F0,84.321,23.851,1740.467
trackmaterun-Friendly220219-4,F15,friendly,/ trackmaterun-Friendly220219-4 FRIENDLYpiover5mins_useADJUSTEDCROPPED_Tracks-1-4-4-5-2-F9_91,65.181,21.592,1205.727
trackmaterun-Friendly220219-5,F16,friendly,/ trackmaterun-Friendly220219-5 FRIENDLYpiunder5mins2_alreadydonebutcellattoprightANOTHER-ADJUSTEDCROPPED_Tracks-1-4-4-5-2-F5_9,31.416,16.166,369.762
trackmaterun-Friendly220219-2,F17,friendly,/ trackmaterun-Friendly220219-2 FRIENDLYpiunder5mins2ADJUSTEDCROPPED-220219-2_Tracks-1-4-4-5-2-F6_36,57.193,23.426,1295.446
trackmaterun-Friendly060419-3,F18,friendly,/ trackmaterun-Friendly060419-3 FRIENDLYjustover5min_usebutbumpuppiforcropping-ADJUSTEDCROPPED_Tracks-1-4-4-5-2-F6_33,66.519,22.747,1433.612
trackmaterun-Friendly060419-2,F19,friendly,/ trackmaterun-Friendly060419-2 FRIENDLYunder5minADJUSTEDCROPPED_2-060419_Tracks-1-5-4-5-2-F6_2,38.244,19.358,655.154
