 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	0.903	23.615	5	5	62	21.328	307.000
2	1.112	20.375	0	0	59	22.648	326.000
3	0.973	28.214	30	0	84	27.442	395.000
4	0.903	32.231	17	4	76	29.109	419.000
5	0.764	34.636	5	5	101	26.469	381.000
6	0.834	37.583	16	8	69	31.332	451.000
7	0.625	36.444	8	8	84	22.787	328.000
8	0.903	35.692	7	7	79	32.235	464.000
9	0.834	30.917	22	3	85	25.774	371.000
10	0.903	41.385	13	12	83	37.376	538.000
11	0.069	19.000	19	19	19	1.320	19.000
12	1.112	36.500	4	4	117	40.572	584.000
13	1.042	38.600	8	6	94	40.225	579.000
14	0.834	38.083	8	0	97	31.749	457.000
15	0.764	52.909	20	15	133	40.433	582.000
16	0.903	29.462	8	6	79	26.608	383.000
17	0.903	43.923	95	7	95	39.669	571.000
18	0.834	50.833	2	2	113	42.378	610.000
19	0.625	36.333	2	2	79	22.718	327.000
20	1.181	32.941	13	1	99	38.905	560.000
21	0.973	27.714	4	1	88	26.955	388.000
22	1.112	29.438	2	2	91	32.722	471.000
23	0.695	52.000	53	12	132	36.126	520.000
24	0.973	27.214	1	1	64	26.469	381.000
25	0.973	37.000	21	1	108	35.987	518.000
