 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.042	19.667	10	1	58	20.494	295.000
2	0.834	32.083	0	0	99	26.747	385.000
3	1.112	25.875	8	0	80	28.762	414.000
4	0.764	45.182	4	4	102	34.528	497.000
5	0.903	37.077	22	4	87	33.486	482.000
6	0.834	27.167	11	4	58	22.648	326.000
7	1.042	32.667	1	1	83	34.042	490.000
8	0.973	30.143	1	1	97	29.317	422.000
9	0.764	34.455	20	12	69	26.330	379.000
10	0.764	36.818	1	1	81	28.136	405.000
11	0.556	43.500	41	10	94	24.176	348.000
12	0.834	40.250	9	9	86	33.555	483.000
13	1.181	29.118	16	1	71	34.389	495.000
14	0.903	43.923	10	10	110	39.669	571.000
15	1.042	37.867	11	9	100	39.460	568.000
16	0.764	36.455	4	4	97	27.858	401.000
17	0.695	36.400	41	5	94	25.288	364.000
18	0.903	28.077	6	6	56	25.357	365.000
19	0.903	33.077	4	4	81	29.873	430.000
20	0.834	15.583	8	2	31	12.991	187.000
21	0.973	26.857	18	4	79	26.122	376.000
22	1.042	38.067	25	5	71	39.669	571.000
23	0.973	35.571	58	4	88	34.597	498.000
24	0.973	20.786	10	3	58	20.217	291.000
25	0.973	29.786	6	6	67	28.970	417.000
