 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.389	20.900	1	0	64	29.040	418.000
2	0.973	33.000	16	2	96	32.096	462.000
3	0.834	26.417	13	2	62	22.023	317.000
4	0.764	25.000	1	0	59	19.105	275.000
5	0.973	34.571	11	4	88	33.625	484.000
6	0.973	34.429	4	4	79	33.486	482.000
7	0.764	33.909	0	0	97	25.913	373.000
8	0.625	28.222	5	5	51	17.646	254.000
9	0.973	30.786	28	6	70	29.943	431.000
10	0.764	45.364	44	7	80	34.667	499.000
11	1.042	28.200	13	3	67	29.387	423.000
12	0.973	36.357	2	2	85	35.362	509.000
13	1.181	37.706	0	0	113	44.532	641.000
14	0.695	27.600	6	3	72	19.174	276.000
15	1.042	44.067	20	4	101	45.921	661.000
16	0.764	39.909	6	6	89	30.498	439.000
17	1.042	29.600	9	2	90	30.846	444.000
18	1.042	28.333	7	3	75	29.526	425.000
19	0.834	35.417	4	4	73	29.526	425.000
20	0.556	28.750	2	2	71	15.979	230.000
21	0.973	42.857	21	6	98	41.684	600.000
22	0.695	35.800	6	6	76	24.871	358.000
23	1.042	31.733	1	1	108	33.069	476.000
24	1.112	33.562	6	3	89	37.307	537.000
25	0.903	30.462	20	3	81	27.511	396.000
