 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	0.764	14.818	6	0	43	11.324	163.000
2	0.625	24.667	1	1	62	15.423	222.000
3	0.695	31.800	13	13	59	22.092	318.000
4	0.903	24.000	4	4	63	21.675	312.000
5	0.625	27.333	8	8	62	17.090	246.000
6	0.625	36.111	6	6	66	22.579	325.000
7	0.903	21.615	16	3	52	19.522	281.000
8	0.556	35.875	7	7	72	19.939	287.000
9	0.834	26.083	16	1	69	21.745	313.000
10	0.764	21.909	8	1	68	16.743	241.000
11	0.764	24.182	48	1	49	18.480	266.000
12	0.486	24.143	6	6	42	11.741	169.000
13	0.695	20.700	1	1	51	14.381	207.000
14	0.695	22.800	9	7	53	15.840	228.000
15	1.112	23.625	4	1	82	26.261	378.000
16	0.973	28.714	10	5	71	27.928	402.000
17	0.764	26.000	35	0	67	19.869	286.000
18	0.764	22.727	7	7	60	17.368	250.000
19	0.903	30.000	14	3	64	27.094	390.000
20	0.903	27.231	22	0	92	24.593	354.000
21	0.903	16.615	0	0	46	15.006	216.000
22	0.834	15.667	5	5	31	13.061	188.000
23	1.112	21.938	14	7	56	24.385	351.000
24	1.042	20.933	3	0	54	21.814	314.000
25	0.903	12.538	4	2	30	11.324	163.000
