 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	0.903	20.846	7	1	68	18.827	271.000
2	0.903	23.000	7	0	74	20.772	299.000
3	0.903	27.769	2	2	61	25.080	361.000
4	0.834	29.917	23	1	65	24.941	359.000
5	1.042	33.733	15	5	96	35.153	506.000
6	1.181	28.000	2	2	65	33.069	476.000
7	0.903	30.769	1	1	68	27.789	400.000
8	0.695	33.300	17	17	69	23.134	333.000
9	0.625	39.111	8	8	84	24.454	352.000
10	0.834	36.917	17	4	93	30.776	443.000
11	0.903	27.923	10	0	78	25.219	363.000
12	0.695	39.300	8	8	78	27.303	393.000
13	0.834	32.083	14	14	53	26.747	385.000
14	0.973	47.714	46	0	93	46.408	668.000
15	0.903	34.615	0	0	70	31.263	450.000
16	0.903	30.308	21	1	83	27.372	394.000
17	0.834	28.750	19	9	61	23.968	345.000
18	0.695	37.600	32	14	94	26.122	376.000
19	0.903	38.077	8	6	77	34.389	495.000
20	0.625	38.556	57	14	73	24.107	347.000
21	0.834	30.583	2	2	95	25.496	367.000
22	0.903	28.077	2	2	73	25.357	365.000
23	0.764	29.000	6	6	77	22.162	319.000
24	0.903	26.231	21	9	67	23.690	341.000
25	1.042	31.067	3	3	82	32.374	466.000
