 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	0.973	19.071	1	0	65	18.549	267
2	0.903	33.308	2	2	99	30.082	433
3	0.695	43.000	6	6	88	29.873	430
4	0.903	33.000	26	10	67	29.804	429
5	0.903	43.769	9	9	99	39.530	569
6	0.764	29.818	26	7	68	22.787	328
7	0.903	49.154	8	8	97	44.393	639
8	0.764	39.000	2	2	99	29.804	429
9	0.764	48.273	44	10	106	36.890	531
10	1.181	27.882	9	0	83	32.930	474
11	0.834	38.083	7	7	99	31.749	457
12	0.764	34.818	19	7	89	26.608	383
13	0.695	29.900	7	1	89	20.772	299
14	1.042	43.133	38	1	103	44.949	647
15	0.973	42.571	18	5	83	41.406	596
16	0.625	30.556	17	17	50	19.105	275
17	1.251	35.167	6	6	91	43.976	633
18	0.903	37.615	7	6	83	33.972	489
19	0.764	32.818	29	7	85	25.080	361
20	0.903	50.077	7	6	125	45.227	651
21	0.556	58.250	30	30	108	32.374	466
22	0.834	39.667	12	6	102	33.069	476
23	0.625	47.556	4	4	98	29.734	428
24	0.834	49.333	34	12	102	41.128	592
25	0.903	43.538	3	3	130	39.321	566
