"frame","mean.min.dist","mean.degree","sd.degree","max.degree","diameter","betweenness","efficiency","num.edges","num.vertices","cc.num","cc.mean.size","cc.max.size","singletons"
1,2.32072977731897,0.4,0.502624689950035,1,1,0,0.0210526315789474,4,20,16,1.25,2,12
2,2.66015916797406,0.4,0.502624689950035,1,1,0,0.0210526315789474,4,20,16,1.25,2,12
3,2.41172744313706,0.476190476190476,0.601585207518238,2,2,0.0476190476190476,0.0261904761904762,5,21,16,1.3125,3,12
4,2.0795491014003,0.695652173913043,0.702901946394417,2,2,0.130434782608696,0.0375494071146245,8,23,15,1.53333333333333,3,10
5,2.14103897395028,0.75,0.737209780774486,2,3,0.25,0.0410628019323671,9,24,15,1.6,4,10
6,2.07240214281797,0.769230769230769,0.764601454756257,2,4,0.461538461538462,0.0412820512820513,10,26,16,1.625,5,11
7,2.12019328271467,0.923076923076923,0.844894167245906,2,8,3.26923076923077,0.0644945054945055,12,26,14,1.85714285714286,9,10
8,1.99354899441584,1.15384615384615,1.04660623702738,3,7,2.53846153846154,0.0743369963369963,15,26,13,2,9,8
9,2.26466619380074,1.18518518518519,1.03912082058444,3,7,2.48148148148148,0.0731040564373898,16,27,13,2.07692307692308,9,8
10,1.94469624278801,1.24137931034483,1.05746234022079,3,8,4.27586206896552,0.0797707013840019,18,29,13,2.23076923076923,11,8
11,2.14024417671349,1.31034482758621,1.07249536382155,3,8,4.20689655172414,0.0814127375087966,19,29,13,2.23076923076923,11,8
12,2.09134939560393,1.25,1.07763181216065,3,8,3.90625,0.0703365015360983,20,32,15,2.13333333333333,11,10
13,1.73708451084622,1.41176470588235,1.04787366399117,3,8,3.73529411764706,0.0710996519820049,24,34,14,2.42857142857143,11,8
14,1.80417501812513,1.42857142857143,1.03712595768346,3,8,3.77142857142857,0.0706782713085234,25,35,14,2.5,11,8
15,2.03547268093074,1.42857142857143,1.03712595768346,3,8,3.77142857142857,0.0706782713085234,25,35,14,2.5,11,8
16,2.33039700818759,1.42857142857143,1.03712595768346,3,8,3.77142857142857,0.0706782713085234,25,35,14,2.5,11,8
17,2.44625707882863,1.35135135135135,1.05977503420449,3,8,3.56756756756757,0.0631435006435006,25,37,16,2.3125,11,10
18,3.02379159771175,1.35135135135135,1.05977503420449,3,8,3.56756756756757,0.0631435006435006,25,37,16,2.3125,11,10
19,2.56430657743144,1.40540540540541,1.11702629680225,3,9,8.10810810810811,0.0802880261213594,26,37,15,2.46666666666667,15,10
20,2.77511962624913,1.42105263157895,1.10604185804591,3,9,7.92105263157895,0.0781960531960532,27,38,15,2.53333333333333,15,10
21,2.30301971895212,1.48717948717949,1.2327076503158,4,8,7.8974358974359,0.0845157766210398,29,39,15,2.6,16,10
22,2.60722601749992,1.5,1.24034734589208,4,8,7.85,0.0837087912087912,30,40,15,2.66666666666667,16,10
23,2.57350440081837,1.51219512195122,1.24743639556316,4,8,9.21951219512195,0.0851393728222996,31,41,15,2.73333333333333,17,10
24,2.24669325134778,1.52380952380952,1.23442679969674,4,8,9.07142857142857,0.0832144239809745,32,42,15,2.8,17,10
25,2.3301527836291,1.52380952380952,1.23442679969674,4,8,9.07142857142857,0.0832144239809745,32,42,15,2.8,17,10
26,2.37190039441558,1.52380952380952,1.23442679969674,4,8,9.07142857142857,0.0832144239809745,32,42,15,2.8,17,10
27,2.1814817112301,1.48837209302326,1.24158295703616,4,8,8.86046511627907,0.079343985656278,32,43,16,2.6875,17,11
28,2.49228940813956,1.48837209302326,1.24158295703616,4,8,8.86046511627907,0.079343985656278,32,43,16,2.6875,17,11
29,3.49158954730454,1.45454545454545,1.24740745948501,4,8,8.65909090909091,0.0757374408537199,32,44,17,2.58823529411765,17,12
30,2.93516270133157,1.47826086956522,1.31215057460445,5,8,10.695652173913,0.0801794340924776,34,46,17,2.70588235294118,19,12
31,2.857100101413,1.48936170212766,1.28320828268924,5,8,10.468085106383,0.0776926126602352,35,47,17,2.76470588235294,19,11
32,3.14638835986806,1.45833333333333,1.28755637485887,5,8,10.25,0.0744554204660588,35,48,18,2.66666666666667,19,12
33,2.96842500474604,1.42857142857143,1.29099444873581,5,8,10.0408163265306,0.0714164237123421,35,49,19,2.57894736842105,19,13
34,2.48949446382675,1.48,1.3437686875777,6,8,13.82,0.0823061224489796,37,50,18,2.77777777777778,22,13
35,2.49286266671899,1.56862745098039,1.30007541259397,6,11,21.156862745098,0.0902565430212489,40,51,16,3.1875,25,11
36,2.38918435997558,1.53846153846154,1.30551677787581,6,11,20.75,0.0867851375204316,40,52,17,3.05882352941176,25,12
37,2.4494762483202,1.53846153846154,1.30551677787581,6,11,20.75,0.0867851375204316,40,52,17,3.05882352941176,25,12
38,1.97372954485744,1.68421052631579,1.33841450360441,6,12,29.8947368421053,0.0937429477373086,48,57,17,3.35294117647059,30,12
39,1.81354133140158,1.75438596491228,1.31313014470857,6,13,33.4912280701754,0.0984078525901834,50,57,15,3.8,31,10
40,1.89005336161442,1.79661016949153,1.36178965686701,6,13,36.864406779661,0.101412568858507,53,59,15,3.93333333333333,33,10
41,2.26884022354982,1.83050847457627,1.42819565902021,6,12,35.4406779661017,0.103357255446677,54,59,15,3.93333333333333,33,10
42,1.89856239342287,1.83606557377049,1.43967968507874,6,12,39.6065573770492,0.104991681057255,56,61,15,4.06666666666667,35,10
43,2.20585820715848,1.86885245901639,1.43149583578467,6,15,64.5081967213115,0.121481114513901,57,61,14,4.35714285714286,41,10
44,2.11543202162165,1.875,1.4309504001254,6,15,65.203125,0.115539650770306,60,64,15,4.26666666666667,42,11
45,2.0108139802182,1.93846153846154,1.49871740036401,6,14,64.8307692307692,0.119054577900732,63,65,15,4.33333333333333,43,11
46,1.98782461979313,1.90909090909091,1.50616448920145,6,14,63.8484848484849,0.115446863418891,63,66,16,4.125,43,12
47,2.32103045694437,1.93939393939394,1.51788099137011,6,14,63.8030303030303,0.115796513768542,64,66,16,4.125,43,12
48,2.03815170597341,1.94029850746269,1.51638122870053,6,14,67.0149253731343,0.116028539027182,65,67,16,4.1875,44,12
49,2.78341296401113,1.88405797101449,1.52947734137071,6,14,65.0724637681159,0.10935170493994,65,69,18,3.83333333333333,44,14
50,2.65142746892354,1.85714285714286,1.53496177817413,6,14,64.1428571428571,0.106227370513085,65,70,19,3.68421052631579,44,15
51,2.35855808065791,1.86111111111111,1.52265109387463,6,14,64.625,0.105229607811767,67,72,19,3.78947368421053,45,14
52,2.56795987314398,1.89189189189189,1.50403628242056,6,14,69.9189189189189,0.107015303590646,70,74,18,4.11111111111111,47,13
53,2.33480077029703,1.92207792207792,1.55399513788979,7,15,84.5844155844156,0.110269581561448,74,77,18,4.27777777777778,51,14
54,2.07429703888826,1.97435897435897,1.57887317186673,7,14,84.7564102564103,0.112841092011921,77,78,18,4.33333333333333,52,14
55,1.90947650192283,2,1.57321327225523,7,14,84.962962962963,0.10855302447895,81,81,19,4.26315789473684,53,14
56,1.96663605519558,2.04938271604938,1.56445864892541,7,14,98.2716049382716,0.117110625999515,83,81,17,4.76470588235294,56,13
57,1.97724108844374,2.09876543209877,1.56208945223701,7,15,103.950617283951,0.119804961841999,85,81,16,5.0625,57,12
58,2.2715285771592,2.09876543209877,1.56208945223701,7,15,103.950617283951,0.119804961841999,85,81,16,5.0625,57,12
59,1.96232186997205,2.12048192771084,1.62599005758102,7,15,101.903614457831,0.121204012300104,88,83,16,5.1875,58,12
60,1.94002285209387,2.16666666666667,1.62683322605039,7,15,103.27380952381,0.122577092219949,91,84,16,5.25,59,12
61,2.15585582173168,2.16666666666667,1.62683322605039,7,15,103.27380952381,0.122577092219949,91,84,16,5.25,59,12
62,2.524001234261,2.16666666666667,1.62683322605039,7,15,103.27380952381,0.122577092219949,91,84,16,5.25,59,12
63,2.40505935950146,2.13953488372093,1.66035283775095,7,15,104.46511627907,0.120384752046859,92,86,17,5.05882352941176,60,13
64,2.69557961895656,2.13953488372093,1.66035283775095,7,15,104.46511627907,0.120384752046859,92,86,17,5.05882352941176,60,13
65,2.69730875797321,2.16279069767442,1.65820927591664,7,15,104.406976744186,0.120649229931036,93,86,17,5.05882352941176,60,13
