 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.667	15.292	4	1	52	25.496	367.000
2	1.598	20.348	1	1	68	32.513	468.000
3	1.667	18.500	0	0	67	30.846	444.000
4	1.042	23.067	4	4	58	24.038	346.000
5	1.251	27.833	3	3	94	34.806	501.000
6	1.112	20.625	9	1	50	22.926	330.000
7	1.042	19.800	4	3	65	20.633	297.000
8	1.042	18.933	11	1	46	19.730	284.000
9	1.251	18.556	2	2	47	23.204	334.000
10	1.112	22.125	8	1	59	24.593	354.000
11	0.834	24.500	10	2	63	20.425	294.000
12	1.251	20.000	5	0	72	25.010	360.000
13	1.181	25.471	0	0	81	30.082	433.000
14	1.181	13.588	4	2	43	16.048	231.000
15	1.181	24.529	5	2	65	28.970	417.000
16	1.112	19.312	2	1	61	21.467	309.000
17	1.112	19.750	5	0	79	21.953	316.000
18	0.764	29.091	40	4	85	22.231	320.000
19	0.903	21.308	4	2	70	19.244	277.000
20	1.459	29.810	6	0	109	43.490	626.000
21	1.320	33.053	4	1	135	43.629	628.000
22	1.320	19.368	6	0	57	25.566	368.000
23	1.042	25.933	1	1	80	27.025	389.000
24	1.251	28.444	4	0	81	35.570	512.000
25	0.903	28.154	4	3	76	25.427	366.000
