 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.389	8.150	9	1	19	11.324	163.000
2	1.320	9.316	1	0	25	12.297	177.000
3	1.181	7.882	4	0	27	9.309	134.000
4	1.112	8.562	2	1	27	9.518	137.000
5	1.320	13.421	3	0	34	17.715	255.000
6	0.973	11.714	4	1	27	11.393	164.000
7	1.251	15.889	14	1	40	19.869	286.000
8	1.320	9.842	2	0	30	12.991	187.000
9	1.528	12.318	3	2	35	18.827	271.000
10	1.320	9.579	2	1	31	12.644	182.000
11	1.181	9.471	6	0	26	11.185	161.000
12	1.876	10.778	2	0	43	20.217	291.000
13	1.251	13.167	9	1	34	16.465	237.000
14	1.112	11.562	1	1	40	12.852	185.000
15	1.598	10.087	2	0	30	16.118	232.000
16	1.251	9.778	4	1	28	12.227	176.000
17	0.903	15.462	3	3	35	13.964	201.000
18	1.112	9.875	3	1	27	10.977	158.000
19	1.042	12.867	4	2	43	13.408	193.000
20	1.459	10.286	0	0	36	15.006	216.000
21	1.389	11.350	2	2	37	15.770	227.000
22	1.112	9.188	3	2	21	10.212	147.000
23	1.251	8.278	6	1	23	10.351	149.000
24	1.459	13.667	7	4	32	19.939	287.000
25	1.320	12.632	7	2	36	16.673	240.000
