 	Area	Mean	Mode	Min	Max	IntDen	RawIntDen
1	1.320	17.526	1	1	52	23.134	333.000
2	1.459	13.143	2	2	39	19.174	276.000
3	1.042	14.000	23	3	43	14.589	210.000
4	1.181	16.529	5	1	50	19.522	281.000
5	1.112	13.125	10	0	36	14.589	210.000
6	1.320	17.737	1	1	49	23.412	337.000
7	0.764	18.182	4	4	42	13.895	200.000
8	1.181	19.588	8	1	49	23.134	333.000
9	0.764	17.273	3	3	46	13.200	190.000
10	0.973	15.571	2	0	43	15.145	218.000
11	0.903	15.538	10	1	40	14.033	202.000
12	0.834	22.083	4	4	56	18.410	265.000
13	1.042	11.800	2	2	38	12.297	177.000
14	1.112	18.062	4	2	41	20.078	289.000
15	1.251	10.444	2	1	38	13.061	188.000
16	0.764	19.727	5	5	41	15.076	217.000
17	0.973	10.714	4	1	30	10.421	150.000
18	0.903	13.308	5	1	38	12.019	173.000
19	0.903	13.000	2	2	38	11.741	169.000
20	0.903	11.308	4	1	25	10.212	147.000
21	0.973	13.214	4	4	39	12.852	185.000
22	1.042	13.133	3	2	34	13.686	197.000
23	1.667	23.042	18	3	52	38.418	553.000
24	1.389	13.100	6	1	29	18.202	262.000
25	1.389	14.850	3	3	34	20.633	297.000
